id,category,question
Q1,Leave Policy,"How many casual leaves are employees entitled to?"
Q2,Leave Policy,"How many sick leaves are available to employees?"
Q3,Leave Policy,"Can unused casual leave be carried forward?"
Q4,Leave Policy,"When should an employee request casual leave?"
Q5,Leave Policy,"What should an employee do when they need sick leave?"
Q6,Leave Policy,"How should employees submit leave requests?"
Q7,Work From Home,"What is the work-from-home policy?"
Q8,Work From Home,"When should an employee submit a work-from-home request?"
Q9,Work From Home,"Can a manager reject a work-from-home request?"
Q10,Work From Home,"What are the expectations for employees working remotely?"
Q11,Organization,"What are the key principles of the organization?"
Q12,Organization,"How does the organization approach collaboration?"
Q13,Organization,"What does the organization emphasize in its working culture?"
Q14,Organization,"What learning resources are available to employees?"
Q15,Organization,"What communities are available for data-related learning?"
Q16,AI,"What is GitLab's AI vision and strategy?"
Q17,AI,"What are the guidelines for using AI agents?"
Q18,AI,"How can AI assist development work?"
Q19,AI,"What is the organization's approach to agentic tooling?"
Q20,AI,"What are the recommended practices for AI-assisted development?"
Q21,Internships,"What can interns expect from their internship experience?"
Q22,Internships,"What advice is given to future interns?"
Q23,Internships,"What are some important lessons from the internship experience?"
Q24,Internships,"Why is being proactive important for interns?"
Q25,Internships,"What role does collaboration play in the internship experience?"
