question_id,model,question,answer,context
Q1,qwen2.5:0.5b,How many casual leaves are employees entitled to?,Employees are entitled to 12 casual leaves per calendar year.,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q2,qwen2.5:0.5b,How many sick leaves are available to employees?,10,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q3,qwen2.5:0.5b,Can unused casual leave be carried forward?,"""Unutilized casual leave cannot be carried forward to next calendar year.""","LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q4,qwen2.5:0.5b,When should an employee request casual leave?,Casual leave should normally be requested in advance and requires manager approval.,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q5,qwen2.5:0.5b,What should an employee do when they need sick leave?,The employee should inform the manager as soon as reasonably possible when they need sick leave.,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q6,qwen2.5:0.5b,How should employees submit leave requests?,Employees should submit leave requests through the organization's leave management system.,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours."
Q7,qwen2.5:0.5b,What is the work-from-home policy?,Work from home policy: Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins.,"WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system."
Q8,qwen2.5:0.5b,When should an employee submit a work-from-home request?,Employees should have access to the required systems and communication tools while working remotely.,"WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system."
Q9,qwen2.5:0.5b,Can a manager reject a work-from-home request?,"""yes""","WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system."
Q10,qwen2.5:0.5b,What are the expectations for employees working remotely?,Employees working remotely are expected to remain available during normal working hours and have access to the required systems and communication tools while working remotely. They should also follow their assigned working hours and attend work as scheduled.,"WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

There are no requirements in which team a Team Member is part of(so this could be outside of the central Data Team as well) as long as the TTT meets the expectations described below. | Tool / Technology | Tandem | | ----------------- | ------ | | Snowflake | t.b.d. | | Monte Carlo | t.b.d. | | dbt | t.b.d. | | Tableau | t.b.d. | ### What do we expect from TTT - We expect TTT to get in touch with our business partners and all functions that contribute to the data program or work with our Data Platform, to understand their challenges. - We expect TTT to get up to date with the latest in their area. They understand the full capabilities of the tool / technology, have regular touchpoints with the respective vendor and have a good understanding of the latest released features. - TTT will guide and educate our business partners. - TTT will initiate [design-spikes](/handbook/enterprise-data/how-we-work/#design-spike) for quarterly [planning](/handbook/enterprise-data/how-we-work/planning/)."
